Levels,Locations,Count,Clothes,AICount,AIType
1,PODIUM_02\OFFICE_02\PODIUM_02\OFFICE_02,4,EVENING\OFFICE,0,TUTORIAL
2,PODIUM_02\OFFICE_02\PODIUM_02\OFFICE_02,4,EVENING\OFFICE,2,TUTORIAL
3,PODIUM_02\POOL_02\OFFICE_02,4,EVENING\SWIMMING\OFFICE,2,EASY\EASY
4,PODIUM_02\POOL_02\OFFICE_02,5,EVENING\SWIMMING\OFFICE,2,EASY\EASY
5,PODIUM_02\POOL_02\OFFICE_02,6,EVENING\SWIMMING\OFFICE,2,EASY\EASY
6,PODIUM_02\POOL_02\OFFICE_02,6,EVENING\SWIMMING\OFFICE,1,MEDIUM
7,PARK_02\POOL_02\OFFICE_02,4,SPORT\SWIMMING\OFFICE,2,EASY\MEDIUM
8,PODIUM_02\POOL_02\PARK_02,4,EVENING\SWIMMING\SPORT,2,EASY\MEDIUM
9,PARK_02\POOL_02\OFFICE_02,5,SPORT\SWIMMING\OFFICE,2,EASY\MEDIUM
10,PODIUM_02\POOL_02\OFFICE_02\PARK_02,4,EVENING\SWIMMING\SPORT\OFFICE,2,EASY\MEDIUM
11,PODIUM_02\POOL_02\OFFICE_02\PARK_02,5,EVENING\SWIMMING\SPORT\OFFICE,1,MEDIUM
12,CITY_02\POOL_02\OFFICE_02\PARK_02,4,CASUAL\SWIMMING\SPORT\OFFICE,2,MEDIUM\MEDIUM
13,PODIUM_02\POOL_02\OFFICE_02\CITY_02,5,EVENING\SWIMMING\CASUAL\OFFICE,2,MEDIUM\MEDIUM
14,PARK_02\POOL_02\OFFICE_02\CITY_02,5,SPORT\SWIMMING\CASUAL\OFFICE,2,MEDIUM\MEDIUM
15,PARK_02\PODIUM_02\OFFICE_02\CITY_02,5,EVENING\CASUAL\SPORT\OFFICE,2,EASY\MEDIUM
16,PODIUM_02\POOL_02\OFFICE_02\PARK_02,6,EVENING\SWIMMING\SPORT\OFFICE,1,HARD
17,CITY_02\POOL_02\OFFICE_02\BEACH_02,5,CASUAL\SWIMMING\OFFICE,2,MEDIUM\HARD
18,CITY_02\POOL_02\PODIUM_02\BEACH_02,5,EVENING\CASUAL\SWIMMING,2,MEDIUM\HARD
19,PARK_02\POOL_02\OFFICE_02\BEACH_02,5,CASUAL\OFFICE\SWIMMING\SPORT,2,EASY\MEDIUM
20,CITY_02\PODIUM_02\PARK_02\BEACH_02,5,SPORT\SWIMMING\CASUAL\EVENING,2,MEDIUM\MEDIUM
21,CITY_02\OFFICE_02\PODIUM_02,6,CASUAL\OFFICE\EVENING,1,BOSS
22,PODIUM_02\OFFICE_02\PARK_02\BEACH_02,4,EVENING\OFFICE\SPORT\SWIMMING,2,EASY\HARD
23,OFFICE_02\PARK_02\PARK_02\BEACH_02\POOL_02,5,OFFICE\SPORT\SWIMMING,2,MEDIUM\MEDIUM
24,CITY_02\POOL_02\OFFICE_02\BEACH_02\OFFICE_02,6,CASUAL\SWIMMING\OFFICE,2,HARD\HARD
25,PODIUM_02\POOL_02\PARK_02\CITY_02,6,EVENING\SWIMMING\CASUAL\SPORT,2,EASY\HARD
26,OFFICE_02\PARK_02\POOL_02\BEACH_02\PARK_02,6,OFFICE\SPORT\SWIMMING,1,BOSS
27,OFFICE_02\BEACH_02\PARK_02\CITY_02,6,OFFICE\SWIMMING\SPORT\CASUAL,2,EASY\EASY
28,POOL_02\BEACH_02\PARK_02\PARK_02,6,SWIMMING\SPORT,2,EASY\MEDIUM
29,OFFICE_02\PODIUM_02\POOL_02\BEACH_02\PODIUM_02,6,OFFICE\EVENING\SWIMMING,2,EASY\HARD
30,PARK_02\BEACH_02\CITY_02\BEACH_02,7,SPORT\SWIMMING\CASUAL,2,MEDIUM\HARD
31,CITY_02\PODIUM_02\OFFICE_02\BEACH_02\POOL_02,7,CASUAL\EVENING\OFFICE\SWIMMING,1,BOSS
32,PODIUM_02\POOL_02\PARK_02\POOL_02,6,EVENING\SWIMMING\SPORT,2,EASY\MEDIUM
33,OFFICE_02\CITY_02\CITY_02\POOL_02\BEACH_02,5,SWIMMING\CASUAL\OFFICE,2,EASY\HARD
34,OFFICE_02\PARK_02\POOL_02\PODIUM_02,5,OFFICE\SWIMMING\SPORT\EVENING,2,MEDIUM\MEDIUM
35,CITY_02\POOL_02\OFFICE_02\CITY_02\BEACH_02,7,SWIMMING\CASUAL\OFFICE,2,MEDIUM\HARD
36,CITY_02\POOL_02\PODIUM_02\BEACH_02,7,CASUAL\SWIMMING\EVENING,1,BOSS
37,PARK_02\POOL_02\OFFICE_02\BEACH_02\BEACH_02,6,SWIMMING\OFFICE\SPORT,2,EASY\HARD
38,CITY_02\PODIUM_02\PARK_02\BEACH_02,5,EVENING\SWIMMING\CASUAL\SPORT,2,MEDIUM\HARD
39,CITY_02\OFFICE_02\PARK_02\PODIUM_02,7,EVENING\OFFICE\CASUAL\SPORT,2,MEDIUM\MEDIUM
40,CITY_02\POOL_02\PARK_02\BEACH_02,7,SPORT\SWIMMING\CASUAL,2,EASY\MEDIUM
41,OFFICE_02\PARK_02\PARK_02\BEACH_02\POOL_02,7,OFFICE\SWIMMING\SPORT,1,BOSS
42,CITY_02\POOL_02\OFFICE_02\BEACH_02,7,SWIMMING\CASUAL\OFFICE,2,MEDIUM\MEDIUM
43,PODIUM_02\POOL_02\PARK_02\CITY_02,6,EVENING\CASUAL\SPORT\SWIMMING,2,HARD\HARD
44,OFFICE_02\PARK_02\POOL_02\BEACH_02\OFFICE_02,7,SWIMMING\OFFICE\SPORT,2,EASY\HARD
45,PODIUM_02\BEACH_02\PARK_02\CITY_02,6,EVENING\SWIMMING\CASUAL\SPORT,2,MEDIUM\MEDIUM
46,BEACH_02\BEACH_02\PARK_02\PARK_02\CITY_02,7,SWIMMING\SPORT\CASUAL,1,BOSS
47,OFFICE_02\PODIUM_02\POOL_02\CITY_02\BEACH_02,5,SWIMMING\OFFICE\EVENING\CASUAL,2,MEDIUM\HARD
48,PARK_02\BEACH_02\BEACH_02\CITY_02,6,SPORT\SWIMMING\CASUAL,2,EASY\HARD
49,CITY_02\PODIUM_02\OFFICE_02\BEACH_02,7,OFFICE\CASUAL\EVENING\SWIMMING,2,MEDIUM\MEDIUM
50,PODIUM_02\PARK_02\POOL_02\PARK_02,7,EVENING\SWIMMING\SPORT,2,EASY\HARD
51,OFFICE_02\CITY_02\PARK_02\POOL_02\BEACH_02,6,OFFICE\CASUAL\SWIMMING\SPORT,1,BOSS
